Order_ID,Order_Date,Region,Country,Sales_Rep,Team,Customer_ID,Customer_Segment,Product_Category,Product_Name,Stage,Units_Sold,Revenue,Target,Deal_Size
4255,2021/1/10,East,India,Priya Sharma,Team C,C3255,Retail,Furniture,Office Chair,Opportunity,3,712,848,1425
2916,2021/1/10,North,Canada,David Lee,Team C,C1916,Retail,Furniture,Office Chair,Lost,0,0,1453,0
2957,2021/1/10,West,Germany,Wei Zhang,Team A,C1957,Retail,Furniture,Office Chair,Opportunity,2,179,-78,359
5466,2021/1/10,South,Brazil,Alice Johnson,Team C,C4466,Corporate,Electronics,Tablet Air,Won,8,1136,884,1143
3519,2021/1/10,North,USA,John Smith,Team B,C2519,Corporate,Appliances,Air Conditioner,Won,1,1712,1812,1712
5175,2021/1/11,East,China,John Smith,Team C,C4175,Corporate,Furniture,Office Chair,Lost,0,0,1785,0
4870,2021/1/11,South,Argentina,John Smith,Team C,C3870,Retail,Furniture,Standing Desk,Opportunity,2,617,502,1235
1959,2021/1/12,West,UK,Maria Garcia,Team C,C0959,Corporate,Furniture,Office Chair,Lost,0,0,1335,0
1289,2021/1/12,East,China,Maria Garcia,Team C,C0289,SME,Furniture,Standing Desk,Lost,0,0,756,0
2711,2021/1/12,East,China,John Smith,Team C,C1711,Retail,Appliances,Refrigerator,Lost,0,0,501,0
1619,2021/1/12,West,UK,Priya Sharma,Team A,C0619,Corporate,Electronics,Tablet Air,Lost,0,0,1712,0
3700,2021/1/12,West,UK,John Smith,Team A,C2700,Retail,Electronics,Smartphone Z,Lost,0,0,1587,0
4684,2021/1/12,North,Canada,Priya Sharma,Team B,C3684,Retail,Furniture,Standing Desk,Opportunity,3,709,842,1419
3932,2021/1/12,South,Brazil,David Lee,Team B,C2932,Corporate,Furniture,Office Chair,Opportunity,4,630,698,1260
5988,2021/1/13,West,Germany,Priya Sharma,Team C,C4988,Corporate,Electronics,Smartphone Z,Won,3,990,1201,990
3688,2021/1/13,East,India,Alice Johnson,Team C,C2688,Retail,Electronics,Smartphone Z,Lost,0,0,1837,0
5531,2021/1/13,West,UK,Priya Sharma,Team C,C4531,Retail,Furniture,Office Chair,Lost,0,0,651,0
5994,2021/1/14,East,China,Maria Garcia,Team B,C4994,Corporate,Appliances,Air Conditioner,Lost,0,0,1572,0
2698,2021/1/14,North,Canada,Priya Sharma,Team A,C1698,Retail,Appliances,Air Conditioner,Lost,0,0,1966,0
5171,2021/1/14,East,China,John Smith,Team C,C4171,Corporate,Furniture,Standing Desk,Won,1,1545,1865,1545
1321,2021/1/15,South,Argentina,Wei Zhang,Team A,C0321,SME,Electronics,Tablet Air,Lost,0,0,760,0
2164,2021/1/15,South,Brazil,Wei Zhang,Team A,C1164,SME,Furniture,Office Chair,Lost,0,0,1096,0
5068,2021/1/16,East,India,Priya Sharma,Team B,C4068,Retail,Appliances,Microwave Max,Lost,0,0,676,0
4180,2021/1/16,West,Germany,Wei Zhang,Team A,C3180,SME,Furniture,Standing Desk,Opportunity,2,184,477,369
5999,2021/1/16,East,China,John Smith,Team C,C4999,Corporate,Electronics,Smartphone Z,Lost,0,0,1218,0
5965,2021/1/17,East,India,Alice Johnson,Team C,C4965,Corporate,Electronics,Smartphone Z,Opportunity,1,640,940,1280
5504,2021/1/17,West,UK,Wei Zhang,Team B,C4504,SME,Electronics,Smartphone Z,Lost,0,0,699,0
2855,2021/1/17,East,China,Priya Sharma,Team A,C1855,Retail,Furniture,Standing Desk,Opportunity,5,262,182,524
4539,2021/1/17,West,Germany,Maria Garcia,Team A,C3539,Retail,Electronics,Smartphone Z,Opportunity,3,459,539,918
1036,2021/1/17,South,Argentina,David Lee,Team B,C0036,Retail,Appliances,Microwave Max,Lost,0,0,886,0
2088,2021/1/18,North,Canada,Alice Johnson,Team B,C1088,SME,Furniture,Office Chair,Lost,0,0,1232,0
2955,2021/1/18,North,USA,Alice Johnson,Team C,C1955,Retail,Appliances,Microwave Max,Won,1,1997,1762,1997
1824,2021/1/18,North,Canada,David Lee,Team C,C0824,Retail,Appliances,Refrigerator,Lost,0,0,712,0
2109,2021/1/18,East,China,David Lee,Team C,C1109,Retail,Electronics,Tablet Air,Opportunity,3,233,69,466
4568,2021/1/18,North,USA,Wei Zhang,Team B,C3568,Retail,Appliances,Air Conditioner,Lost,0,0,961,0
4201,2021/1/19,South,Brazil,Wei Zhang,Team B,C3201,SME,Furniture,Standing Desk,Lost,0,0,948,0
4285,2021/1/19,East,India,Alice Johnson,Team A,C3285,SME,Furniture,Office Chair,Won,9,1080,1376,1083
3369,2021/1/20,North,USA,Maria Garcia,Team C,C2369,SME,Appliances,Air Conditioner,Opportunity,3,369,453,739
3307,2021/1/20,East,China,David Lee,Team C,C2307,Retail,Appliances,Microwave Max,Won,1,798,907,798
1007,2021/1/21,North,USA,Maria Garcia,Team B,C0007,SME,Electronics,Smartphone Z,Won,3,993,1149,995
2135,2021/1/21,South,Argentina,John Smith,Team C,C1135,SME,Appliances,Refrigerator,Lost,0,0,1425,0
5409,2021/1/21,South,Brazil,Wei Zhang,Team C,C4409,Corporate,Furniture,Standing Desk,Lost,0,0,1249,0
2884,2021/1/22,North,Canada,Alice Johnson,Team C,C1884,Retail,Furniture,Standing Desk,Won,5,440,839,442
4044,2021/1/22,East,India,Priya Sharma,Team A,C3044,Corporate,Appliances,Air Conditioner,Opportunity,3,358,278,716
5275,2021/1/22,South,Argentina,Maria Garcia,Team A,C4275,Retail,Furniture,Standing Desk,Won,2,1706,2129,1707
5073,2021/1/23,South,Argentina,Maria Garcia,Team C,C4073,Corporate,Appliances,Air Conditioner,Lost,0,0,1543,0
3781,2021/1/23,North,USA,John Smith,Team C,C2781,Retail,Electronics,Smartphone Z,Lost,0,0,1128,0
2070,2021/1/23,South,Argentina,Wei Zhang,Team C,C1070,Corporate,Furniture,Office Chair,Opportunity,2,575,788,1151
5941,2021/1/23,West,UK,Alice Johnson,Team B,C4941,SME,Furniture,Standing Desk,Opportunity,2,263,758,526
1812,2021/1/23,North,Canada,David Lee,Team C,C0812,Corporate,Appliances,Air Conditioner,Lost,0,0,1578,0
1848,2021/1/24,West,Germany,David Lee,Team A,C0848,Retail,Appliances,Microwave Max,Lost,0,0,1448,0
3449,2021/1/24,South,Brazil,Alice Johnson,Team C,C2449,SME,Furniture,Office Chair,Won,2,370,272,371
5383,2021/1/24,East,India,Priya Sharma,Team B,C4383,Retail,Electronics,Tablet Air,Won,5,1620,1913,1624
4392,2021/1/24,North,USA,Wei Zhang,Team C,C3392,SME,Appliances,Air Conditioner,Won,10,1780,2178,1782
3475,2021/1/25,East,India,Alice Johnson,Team A,C2475,Retail,Furniture,Standing Desk,Opportunity,2,401,354,802
1596,2021/1/25,South,Argentina,Wei Zhang,Team C,C0596,Retail,Appliances,Microwave Max,Lost,0,0,1251,0
4807,2021/1/26,North,USA,Maria Garcia,Team B,C3807,Corporate,Electronics,Laptop Pro X,Won,6,906,1280,910
2635,2021/1/26,South,Brazil,John Smith,Team C,C1635,SME,Electronics,Smartphone Z,Won,2,706,845,706
2333,2021/1/26,West,UK,John Smith,Team A,C1333,SME,Electronics,Laptop Pro X,Opportunity,1,578,329,1157
1066,2021/1/26,South,Argentina,Wei Zhang,Team A,C0066,SME,Furniture,Standing Desk,Won,2,442,578,443
4585,2021/1/26,East,India,David Lee,Team A,C3585,Retail,Electronics,Smartphone Z,Won,4,456,538,457
5221,2021/1/27,West,UK,Maria Garcia,Team B,C4221,SME,Furniture,Office Chair,Won,5,880,682,880
1851,2021/1/27,North,USA,Alice Johnson,Team A,C0851,Retail,Furniture,Standing Desk,Opportunity,1,436,650,873
4968,2021/1/27,West,Germany,David Lee,Team B,C3968,SME,Electronics,Laptop Pro X,Won,5,280,96,280
3823,2021/1/27,East,India,Maria Garcia,Team C,C2823,SME,Electronics,Laptop Pro X,Lost,0,0,670,0
5293,2021/1/28,South,Argentina,Priya Sharma,Team C,C4293,SME,Appliances,Air Conditioner,Won,2,1212,1657,1213
4312,2021/1/28,West,Germany,Priya Sharma,Team A,C3312,Retail,Electronics,Tablet Air,Opportunity,2,424,570,849
3821,2021/1/29,East,China,Priya Sharma,Team C,C2821,SME,Furniture,Office Chair,Opportunity,4,173,291,347
4986,2021/1/29,South,Argentina,Wei Zhang,Team C,C3986,SME,Appliances,Refrigerator,Opportunity,5,452,379,905
4902,2021/1/29,East,India,Priya Sharma,Team C,C3902,SME,Appliances,Refrigerator,Opportunity,2,569,555,1139
4320,2021/1/29,East,China,David Lee,Team A,C3320,SME,Electronics,Smartphone Z,Won,10,1860,1650,1867
1403,2021/1/29,North,USA,Alice Johnson,Team A,C0403,Corporate,Electronics,Laptop Pro X,Opportunity,5,438,476,876
4624,2021/1/29,West,Germany,David Lee,Team A,C3624,SME,Furniture,Office Chair,Won,7,1722,1460,1723
2556,2021/1/29,West,Germany,Maria Garcia,Team A,C1556,Retail,Furniture,Standing Desk,Won,5,1955,2072,1957
2883,2021/1/30,South,Argentina,Alice Johnson,Team B,C1883,Corporate,Furniture,Standing Desk,Lost,0,0,1752,0
2433,2021/1/30,West,UK,Wei Zhang,Team C,C1433,Retail,Furniture,Office Chair,Opportunity,4,278,590,556
5498,2021/1/30,North,Canada,Maria Garcia,Team A,C4498,Retail,Electronics,Laptop Pro X,Lost,0,0,1676,0
1833,2021/1/30,North,USA,David Lee,Team B,C0833,SME,Electronics,Tablet Air,Opportunity,5,406,474,812
1679,2021/1/30,East,China,Alice Johnson,Team C,C0679,Retail,Appliances,Air Conditioner,Won,7,637,412,639
4699,2021/1/31,West,UK,Maria Garcia,Team B,C3699,Retail,Furniture,Standing Desk,Lost,0,0,1108,0
1698,2021/1/31,East,China,Wei Zhang,Team A,C0698,SME,Furniture,Office Chair,Opportunity,4,373,393,747
1908,2021/1/31,West,UK,David Lee,Team B,C0908,Corporate,Appliances,Air Conditioner,Opportunity,1,681,771,1363
2292,2021/2/1,West,UK,David Lee,Team A,C1292,Retail,Furniture,Office Chair,Lost,0,0,1170,0
4650,2021/2/1,West,UK,David Lee,Team B,C3650,Corporate,Furniture,Office Chair,Won,8,1008,1136,1009
4290,2021/2/1,East,China,John Smith,Team C,C3290,SME,Electronics,Tablet Air,Won,5,1185,1677,1189
5369,2021/2/1,South,Brazil,David Lee,Team B,C4369,Corporate,Furniture,Standing Desk,Lost,0,0,1695,0
4440,2021/2/1,North,USA,Wei Zhang,Team A,C3440,Corporate,Furniture,Standing Desk,Opportunity,1,421,678,842
2402,2021/2/2,North,Canada,David Lee,Team B,C1402,Corporate,Electronics,Tablet Air,Lost,0,0,867,0
2819,2021/2/2,East,India,Maria Garcia,Team B,C1819,Retail,Electronics,Smartphone Z,Lost,0,0,1525,0
4925,2021/2/2,South,Brazil,Alice Johnson,Team C,C3925,Retail,Furniture,Standing Desk,Won,10,1920,2043,1924
3026,2021/2/2,East,China,Alice Johnson,Team A,C2026,SME,Furniture,Office Chair,Opportunity,3,411,501,823
5513,2021/2/2,West,Germany,Wei Zhang,Team B,C4513,Retail,Furniture,Standing Desk,Opportunity,1,244,583,489
4093,2021/2/2,North,USA,Wei Zhang,Team B,C3093,Retail,Electronics,Tablet Air,Lost,0,0,1241,0
5354,2021/2/4,West,Germany,David Lee,Team B,C4354,Retail,Appliances,Microwave Max,Lost,0,0,550,0
1453,2021/2/4,North,USA,Alice Johnson,Team C,C0453,Retail,Furniture,Standing Desk,Won,3,462,690,464
5721,2021/2/4,East,India,Priya Sharma,Team C,C4721,SME,Electronics,Smartphone Z,Opportunity,2,696,423,1393
2755,2021/2/4,West,UK,Wei Zhang,Team A,C1755,Corporate,Appliances,Microwave Max,Lost,0,0,735,0
4304,2021/2/5,East,India,John Smith,Team A,C3304,SME,Electronics,Tablet Air,Won,6,906,885,911
2765,2021/2/5,East,India,David Lee,Team B,C1765,SME,Electronics,Smartphone Z,Opportunity,4,190,115,381
5329,2021/2/5,North,Canada,John Smith,Team C,C4329,Corporate,Furniture,Standing Desk,Won,6,402,651,404
3410,2021/2/5,South,Argentina,Maria Garcia,Team C,C2410,Corporate,Electronics,Smartphone Z,Won,4,864,1027,867
4589,2021/2/5,North,USA,John Smith,Team A,C3589,SME,Electronics,Tablet Air,Opportunity,5,456,472,913
2248,2021/2/6,South,Argentina,John Smith,Team B,C1248,SME,Electronics,Tablet Air,Lost,0,0,1860,0
3248,2021/2/6,North,Canada,John Smith,Team A,C2248,Corporate,Electronics,Tablet Air,Won,3,1233,1071,1234
3587,2021/2/6,East,India,Alice Johnson,Team C,C2587,Retail,Appliances,Refrigerator,Opportunity,5,196,282,392
3072,2021/2/6,West,UK,David Lee,Team C,C2072,SME,Appliances,Microwave Max,Opportunity,5,468,626,937
5345,2021/2/6,North,Canada,Wei Zhang,Team B,C4345,Corporate,Furniture,Standing Desk,Opportunity,3,424,692,849
2098,2021/2/6,South,Argentina,John Smith,Team A,C1098,Corporate,Electronics,Laptop Pro X,Opportunity,2,740,675,1481
1080,2021/2/7,North,USA,Maria Garcia,Team B,C0080,Corporate,Appliances,Refrigerator,Won,4,452,446,452
3614,2021/2/7,East,China,Maria Garcia,Team A,C2614,SME,Appliances,Microwave Max,Opportunity,3,711,725,1422
1210,2021/2/8,South,Brazil,Alice Johnson,Team C,C0210,SME,Appliances,Microwave Max,Lost,0,0,1586,0
2712,2021/2/8,North,Canada,John Smith,Team B,C1712,SME,Electronics,Tablet Air,Lost,0,0,1174,0
4346,2021/2/8,North,USA,Alice Johnson,Team A,C3346,SME,Appliances,Air Conditioner,Lost,0,0,1391,0
4339,2021/2/8,North,USA,John Smith,Team A,C3339,Corporate,Furniture,Office Chair,Opportunity,2,500,809,1000
5288,2021/2/8,North,Canada,Alice Johnson,Team B,C4288,Retail,Electronics,Laptop Pro X,Won,1,1930,1730,1930
1936,2021/2/9,North,USA,Priya Sharma,Team C,C0936,SME,Furniture,Office Chair,Lost,0,0,1119,0
3076,2021/2/11,South,Argentina,Wei Zhang,Team A,C2076,Corporate,Electronics,Smartphone Z,Lost,0,0,1102,0
2291,2021/2/11,North,USA,David Lee,Team A,C1291,Retail,Electronics,Laptop Pro X,Won,6,222,-75,227
4914,2021/2/12,North,USA,Wei Zhang,Team C,C3914,SME,Furniture,Standing Desk,Lost,0,0,975,0
2237,2021/2/12,West,Germany,John Smith,Team C,C1237,SME,Electronics,Smartphone Z,Opportunity,1,740,1232,1480
5953,2021/2/12,East,India,Maria Garcia,Team A,C4953,Corporate,Appliances,Air Conditioner,Lost,0,0,1392,0
1307,2021/2/12,South,Brazil,Priya Sharma,Team A,C0307,SME,Furniture,Office Chair,Won,10,1000,1054,1004
3153,2021/2/12,East,India,Wei Zhang,Team B,C2153,SME,Electronics,Laptop Pro X,Won,5,1255,1265,1255
1395,2021/2/12,South,Brazil,Alice Johnson,Team A,C0395,Corporate,Appliances,Microwave Max,Won,5,1780,1495,1784
1296,2021/2/12,East,China,Alice Johnson,Team A,C0296,Retail,Electronics,Tablet Air,Lost,0,0,596,0
5699,2021/2/13,North,USA,Maria Garcia,Team B,C4699,SME,Electronics,Tablet Air,Opportunity,2,234,575,469
3833,2021/2/13,South,Brazil,Maria Garcia,Team C,C2833,Retail,Appliances,Microwave Max,Won,6,366,767,370
2563,2021/2/13,West,UK,Alice Johnson,Team A,C1563,Retail,Appliances,Refrigerator,Lost,0,0,1193,0
4178,2021/2/14,East,China,Wei Zhang,Team C,C3178,SME,Electronics,Smartphone Z,Opportunity,4,729,620,1458
3096,2021/2/14,South,Argentina,Wei Zhang,Team C,C2096,Corporate,Appliances,Microwave Max,Opportunity,3,436,551,873
2881,2021/2/15,East,India,Priya Sharma,Team B,C1881,Corporate,Electronics,Laptop Pro X,Won,5,725,736,727
2057,2021/2/15,North,USA,Wei Zhang,Team A,C1057,Corporate,Appliances,Refrigerator,Won,6,618,1069,622
2840,2021/2/15,South,Argentina,Alice Johnson,Team B,C1840,Corporate,Electronics,Tablet Air,Lost,0,0,1167,0
3900,2021/2/16,North,USA,Wei Zhang,Team B,C2900,SME,Furniture,Standing Desk,Won,6,516,997,520
4901,2021/2/16,West,UK,David Lee,Team B,C3901,Corporate,Appliances,Microwave Max,Won,9,1116,1575,1122
5661,2021/2/17,South,Brazil,Wei Zhang,Team C,C4661,SME,Furniture,Standing Desk,Lost,0,0,1209,0
5434,2021/2/17,South,Argentina,Maria Garcia,Team A,C4434,Retail,Appliances,Microwave Max,Lost,0,0,1479,0
1276,2021/2/17,West,Germany,John Smith,Team A,C0276,SME,Electronics,Smartphone Z,Won,10,1950,2078,1954
5963,2021/2/17,West,UK,David Lee,Team A,C4963,SME,Appliances,Refrigerator,Won,6,1368,1765,1370
5218,2021/2/18,West,Germany,Alice Johnson,Team B,C4218,Corporate,Appliances,Air Conditioner,Won,3,1065,1383,1067
1862,2021/2/18,East,China,David Lee,Team B,C0862,Corporate,Electronics,Tablet Air,Opportunity,1,361,679,723
4765,2021/2/18,South,Brazil,David Lee,Team A,C3765,Retail,Electronics,Tablet Air,Opportunity,1,429,596,859
2099,2021/2/19,North,USA,Wei Zhang,Team A,C1099,Retail,Electronics,Tablet Air,Lost,0,0,1635,0
2531,2021/2/19,South,Brazil,Wei Zhang,Team C,C1531,Corporate,Appliances,Microwave Max,Won,5,1910,2187,1911
2391,2021/2/19,West,Germany,Priya Sharma,Team A,C1391,Corporate,Electronics,Laptop Pro X,Lost,0,0,1823,0
2678,2021/2/20,West,Germany,Priya Sharma,Team C,C1678,SME,Electronics,Smartphone Z,Won,8,1808,1523,1814
3440,2021/2/20,North,Canada,Priya Sharma,Team C,C2440,Retail,Appliances,Air Conditioner,Won,10,1960,1731,1962
2468,2021/2/20,West,Germany,Wei Zhang,Team C,C1468,Retail,Furniture,Office Chair,Won,8,512,433,515
4873,2021/2/21,South,Argentina,Wei Zhang,Team B,C3873,Corporate,Appliances,Air Conditioner,Lost,0,0,1519,0
2984,2021/2/21,South,Argentina,John Smith,Team C,C1984,Retail,Appliances,Refrigerator,Opportunity,5,594,671,1189
4980,2021/2/22,South,Argentina,Maria Garcia,Team B,C3980,SME,Appliances,Air Conditioner,Lost,0,0,1908,0
2436,2021/2/22,East,India,Maria Garcia,Team A,C1436,Retail,Electronics,Laptop Pro X,Lost,0,0,1297,0
4658,2021/2/22,South,Argentina,Alice Johnson,Team A,C3658,SME,Appliances,Refrigerator,Won,1,1833,1653,1833
4630,2021/2/22,South,Argentina,Wei Zhang,Team C,C3630,Corporate,Electronics,Smartphone Z,Won,6,732,461,736
1380,2021/2/23,North,Canada,Priya Sharma,Team B,C0380,Retail,Furniture,Office Chair,Won,10,510,307,518
2119,2021/2/23,West,Germany,John Smith,Team C,C1119,Retail,Electronics,Smartphone Z,Won,4,1520,1273,1520
5774,2021/2/23,South,Argentina,Wei Zhang,Team A,C4774,SME,Furniture,Standing Desk,Opportunity,2,390,724,780
3953,2021/2/23,North,USA,Wei Zhang,Team B,C2953,Retail,Furniture,Office Chair,Opportunity,4,263,473,527
2860,2021/2/23,East,China,Priya Sharma,Team C,C1860,Corporate,Furniture,Standing Desk,Won,6,906,654,909
1178,2021/2/23,South,Brazil,Maria Garcia,Team A,C0178,Corporate,Electronics,Tablet Air,Lost,0,0,840,0
2451,2021/2/23,East,India,John Smith,Team A,C1451,SME,Electronics,Smartphone Z,Won,10,220,81,222
1509,2021/2/24,North,Canada,Wei Zhang,Team C,C0509,Corporate,Furniture,Office Chair,Opportunity,4,445,623,891
4546,2021/2/24,East,China,John Smith,Team A,C3546,Retail,Electronics,Laptop Pro X,Opportunity,1,642,813,1285
2311,2021/2/24,East,China,Wei Zhang,Team A,C1311,Retail,Furniture,Office Chair,Lost,0,0,1667,0
4487,2021/2/25,South,Argentina,Wei Zhang,Team B,C3487,SME,Appliances,Air Conditioner,Won,2,1756,2209,1757
1377,2021/2/26,East,China,Maria Garcia,Team C,C0377,SME,Electronics,Tablet Air,Lost,0,0,1068,0
3693,2021/2/26,East,India,Wei Zhang,Team B,C2693,Retail,Appliances,Refrigerator,Won,1,937,940,937
3713,2021/2/26,East,China,Priya Sharma,Team A,C2713,Retail,Furniture,Standing Desk,Lost,0,0,601,0
4429,2021/2/26,North,Canada,Priya Sharma,Team A,C3429,Corporate,Appliances,Microwave Max,Won,10,470,344,474
1585,2021/2/27,North,Canada,Alice Johnson,Team B,C0585,Retail,Appliances,Air Conditioner,Opportunity,2,493,522,987
4473,2021/2/27,East,India,David Lee,Team B,C3473,Corporate,Electronics,Laptop Pro X,Opportunity,1,198,108,396
2408,2021/2/28,North,USA,David Lee,Team A,C1408,Retail,Electronics,Tablet Air,Opportunity,4,272,448,545
5076,2021/2/28,West,UK,David Lee,Team B,C4076,Corporate,Electronics,Smartphone Z,Opportunity,5,669,561,1339
3490,2021/2/28,West,Germany,Priya Sharma,Team C,C2490,Retail,Electronics,Tablet Air,Opportunity,5,359,116,719
2056,2021/3/1,West,Germany,Wei Zhang,Team C,C1056,Corporate,Furniture,Office Chair,Won,4,456,418,459
5584,2021/3/1,East,China,Alice Johnson,Team A,C4584,SME,Appliances,Refrigerator,Lost,0,0,1708,0
4965,2021/3/1,East,China,Priya Sharma,Team C,C3965,SME,Furniture,Office Chair,Won,9,774,930,776
3998,2021/3/1,East,India,Maria Garcia,Team C,C2998,SME,Electronics,Laptop Pro X,Won,3,1974,1797,1975
2254,2021/3/1,West,Germany,David Lee,Team C,C1254,Corporate,Furniture,Standing Desk,Opportunity,3,399,691,799
1005,2021/3/2,South,Brazil,John Smith,Team B,C0005,Corporate,Furniture,Standing Desk,Won,10,1950,2307,1953
2330,2021/3/2,East,India,David Lee,Team B,C1330,Corporate,Appliances,Microwave Max,Won,10,1010,1499,1018
5892,2021/3/2,West,UK,Priya Sharma,Team C,C4892,SME,Appliances,Air Conditioner,Opportunity,1,467,473,934
4999,2021/3/2,West,UK,Alice Johnson,Team B,C3999,Retail,Appliances,Microwave Max,Lost,0,0,1570,0
5876,2021/3/3,South,Argentina,Alice Johnson,Team B,C4876,Corporate,Appliances,Refrigerator,Opportunity,4,340,822,680
1212,2021/3/3,South,Argentina,David Lee,Team A,C0212,Retail,Furniture,Standing Desk,Lost,0,0,967,0
2159,2021/3/4,West,UK,Alice Johnson,Team C,C1159,SME,Electronics,Laptop Pro X,Opportunity,4,558,733,1117
5202,2021/3/4,East,China,John Smith,Team C,C4202,Corporate,Electronics,Smartphone Z,Won,10,640,458,642
5768,2021/3/4,North,USA,Maria Garcia,Team B,C4768,Retail,Appliances,Air Conditioner,Won,7,1694,1486,1694
3552,2021/3/4,West,UK,Maria Garcia,Team B,C2552,SME,Appliances,Refrigerator,Opportunity,3,365,412,731
3306,2021/3/4,South,Argentina,Wei Zhang,Team A,C2306,Corporate,Electronics,Tablet Air,Won,9,621,780,623
1135,2021/3/5,South,Brazil,Priya Sharma,Team A,C0135,Corporate,Appliances,Refrigerator,Lost,0,0,797,0
4205,2021/3/5,North,USA,David Lee,Team C,C3205,Retail,Appliances,Air Conditioner,Opportunity,3,710,1044,1420
2414,2021/3/5,South,Brazil,Alice Johnson,Team A,C1414,Corporate,Electronics,Smartphone Z,Lost,0,0,1020,0
2546,2021/3/6,East,India,Alice Johnson,Team C,C1546,Retail,Appliances,Microwave Max,Lost,0,0,881,0
3726,2021/3/6,West,Germany,David Lee,Team B,C2726,Retail,Furniture,Office Chair,Opportunity,4,747,1049,1494
4278,2021/3/7,West,Germany,John Smith,Team B,C3278,Retail,Electronics,Laptop Pro X,Opportunity,1,262,516,525
1417,2021/3/7,South,Brazil,Alice Johnson,Team A,C0417,Corporate,Appliances,Refrigerator,Lost,0,0,1595,0
5629,2021/3/7,West,UK,Wei Zhang,Team B,C4629,SME,Electronics,Tablet Air,Lost,0,0,991,0
5980,2021/3/7,South,Brazil,John Smith,Team A,C4980,Corporate,Electronics,Laptop Pro X,Won,4,588,314,590
1273,2021/3/7,East,China,Alice Johnson,Team A,C0273,SME,Furniture,Office Chair,Lost,0,0,948,0
1151,2021/3/7,West,Germany,Maria Garcia,Team C,C0151,Corporate,Appliances,Microwave Max,Opportunity,5,628,409,1257
2148,2021/3/8,West,UK,Wei Zhang,Team C,C1148,SME,Furniture,Office Chair,Opportunity,3,647,1051,1295
3274,2021/3/8,East,China,Alice Johnson,Team B,C2274,SME,Furniture,Office Chair,Opportunity,5,600,1028,1200
2968,2021/3/8,East,China,David Lee,Team A,C1968,SME,Electronics,Tablet Air,Opportunity,3,688,766,1377
2166,2021/3/9,North,USA,John Smith,Team B,C1166,Corporate,Electronics,Smartphone Z,Lost,0,0,1887,0
2000,2021/3/9,South,Argentina,Alice Johnson,Team B,C1000,Retail,Appliances,Refrigerator,Won,8,288,671,294
1189,2021/3/9,East,China,David Lee,Team B,C0189,Corporate,Electronics,Smartphone Z,Won,5,1025,1522,1028
4710,2021/3/9,West,Germany,Priya Sharma,Team A,C3710,Retail,Electronics,Tablet Air,Lost,0,0,619,0
2516,2021/3/9,East,China,David Lee,Team B,C1516,SME,Furniture,Standing Desk,Lost,0,0,1701,0
